lang	dataset	user_type	original_id	gender	segment	tgt	raw_word_count	time_to_edit	suggestion	secs_per_word	parsed_time_to_edit	last_translation	HTER
es	mtgen_a	professional	657	M	Toole became the editor of the news section of the school newspaper, and maintained high marks throughout high school.	Toole llegó a ser el editor de la sección de noticias en el periódico escolar y obtuvo notas altas durante todo el instituto.	19	0	Toole se convirtió en editor de la sección de noticias del periódico escolar y mantuvo altas calificaciones durante toda la escuela secundaria.	0.0	0:00:00	Toole se convirtió en editor de la sección de noticias del periódico escolar y mantuvo altas calificaciones durante toda la escuela secundaria.	0.0
es	mtgen_a	professional	790	M	It was significant that the doctor was not an employee of the attending physician, but was only visiting the hospital and had responded to a Dr. Stork page, and had not asked or expected to be paid.	Fue significativo que el doctor no fuera un empleado del médico al cargo, sino que simplemente estuviera visitando el hopital y hubiera respondido a una página del Dr. Stork, y no hubiera pedido ni esperado un pago.	37	49235	Era significativo que el médico no era empleado del médico tratante, sino que solo estaba visitando el hospital y había respondido a una página del Dr. Stork, y no había pedido ni esperado que le pagaran.	1.3	0:00:49	Era significativo que el médico no era empleado del médico responsable, sino que solo estaba visitando el hospital y había respondido a una página del Dr. Stork, y no había pedido ni esperado que le pagaran.	2.5
es	mtgen_a	professional	712	M	Professor Weirdo's nemesis was Professor Fruitcake, another mad scientist who lived in a castle on an opposite hill.	La némesis del profesor Weirdo era el profesor Fruitcake, otro científico loco que vivía en un castillo en la colina de enfrente.	18	31924	El enemigo del profesor Weirdo era el profesor Fruitcake, otro científico loco que vivía en un castillo en una colina opuesta.	1.8	0:00:32	El enemigo del profesor Weirdo era el profesor Fruitcake, otro científico loco que vivía en un castillo en la colina de enfrente.	13.043478260869565
es	mtgen_a	professional	964	M	With medicine strong in the family, it was natural for Hogg to become a doctor.	Con la medicina fuerte en la familia, era natural que Hogg se convirtiera en doctor.	15	0	Con la medicina en la familia, era natural que Hogg se convirtiera en médico.	0.0	0:00:00	Con la medicina en la familia, era natural que Hogg se convirtiera en médico.	0.0
es	mtgen_a	professional	1079	M	Janeway was a judge for the National Book Awards in 1955 and for the Pulitzer Prize in 1971.	Janeway fue juez de los Premios Nacionales del Libro en 1955 y del Premio Pulitzer en 1971.	18	0	Janeway fue juez de los Premios Nacionales del Libro en 1955 y del Premio Pulitzer en 1971.	0.0	0:00:00	Janeway fue juez de los Premios Nacionales del Libro en 1955 y del Premio Pulitzer en 1971.	0.0
es	mtgen_a	professional	648	M	This occurs in the opening scene of the film, set in the 1830s, when Disraeli was still a writer and a famous dandy.	Esto ocurre en la escena inicial de la película, establecida en los años 1830, cuando Disraeli era todavía un escritor y famoso dandi.	23	19921	Esto ocurre en la escena inicial de la película, ambientada en la década de 1830, cuando Disraeli todavía era un escritor y un famoso dandy.	0.9	0:00:20	Esto ocurre en la escena inicial de la película, ambientada en la década de 1830, cuando Disraeli todavía era un escritor y un famoso dandi.	3.571428571428571
es	mtgen_a	professional	771	M	Roh said, We'll continue to support Professor Hwang.	"Roh dijo: ""Seguiremos apoyando al profesor Hwang""."	9	0	Roh dijo: Seguiremos apoyando al profesor Hwang.	0.0	0:00:00	Roh dijo: Seguiremos apoyando al profesor Hwang.	0.0
es	mtgen_a	professional	564	M	Gavine-Hlady also was awarded the track and field award for most improved coach.	Gavine-Hlady también recibió el premio de atletismo para el entrenador de mayor mejora.	13	0	Gavine-Hlady también recibió el premio de atletismo al entrenador que más mejoró.	0.0	0:00:00	Gavine-Hlady también recibió el premio de atletismo al entrenador que más mejoró.	0.0
es	mtgen_a	professional	1008	M	DioGuardi served as a judge on American Idol for its eighth and ninth seasons.	DioGuardi ejerció como juez en American Idol en la octava y la novena temporada.	14	49495	DioGuardi se desempeñó como juez en American Idol durante su octava y novena temporada.	3.5	0:00:49	DioGuardi fue miembro del jurado de American Idol durante su octava y novena temporadas.	40.0
es	mtgen_a	professional	872	M	It has specialist art status, became an academy in 2011 and was judged to be good by Ofsted in 2013, at which time there were 825 pupils on roll, including those in the co-educational sixth form.	Tiene el estatus de especialista en arte, se convirtió en una academia en 2011 y la Ofsted la consideró buena en 2013, momento en el que había 825 alumnos matriculados, incluidos los de sexto curso mixto.	36	219754	Tiene estatus de especialista en arte, se convirtió en academia en 2011 y Ofsted lo consideró bueno en 2013, momento en el que había 825 alumnos inscritos, incluidos los del sexto curso mixto.	6.1	0:03:40	Tiene la especialidad de Arte, obtuvo el estatus de academia en 2011 y recibió la certificación de aptitud de la Ofsted en 2013, momento en el que había 825 alumnos inscritos, incluidos los del sexto curso del itinerario de coeducación.	54.054054054054056
es	mtgen_a	professional	574	M	As of 2020 Guzman is the CEO and founder of Tijiko, a company centered on digital coaching.	A fecha de 2020, Guzman es el consejero delegado y fundador de Tijiko, una empresa centrada en entrenamiento digital.	17	33293	A partir de 2020, Guzmán es el director ejecutivo y fundador de Tijiko, una empresa centrada en el coaching digital.	2.0	0:00:33	Desde 2020, Guzmán es el director ejecutivo y fundador de Tijiko, una empresa centrada en el coaching digital.	13.043478260869565
es	mtgen_a	professional	814	M	Camporeale was an assistant coach at Essendon from 2007 to 2010.	Camporeale fue entrenador adjunto en el Essendon desde 2007 hasta 2010.	11	0	Camporeale fue entrenador asistente en Essendon de 2007 a 2010.	0.0	0:00:00	Camporeale fue entrenador asistente en Essendon de 2007 a 2010.	0.0
es	mtgen_a	professional	855	M	Tilling was promoted to professor of medical statistics in 2011.	Tilling fue ascendido a profesor de estadística médica en 2011.	10	18136	Tilling fue ascendido a profesor de estadística médica en 2011.	1.8	0:00:18	Tilling fue ascendido a catedrático de Estadística médica en 2011.	18.181818181818183
es	mtgen_a	professional	668	M	During the summer of 1997, Schwarzenbach worked as a freelance writer and contributed several reviews of video games for GameSpot.	Durante el verano de 1997 Schwarzenbach trabajó como escritor autónomo y escribió varias reseñas de videojuegos para GameSpot.	20	25531	Durante el verano de 1997, Schwarzenbach trabajó como escritor independiente y contribuyó con varias reseñas de videojuegos para GameSpot.	1.3	0:00:26	Durante el verano de 1997, Schwarzenbach trabajó como escritor autónomo y publicó varias reseñas de videojuegos en GameSpot.	19.047619047619047
es	mtgen_a	professional	686	M	A strictly orthodox theologian and a clear writer, Luthardt became widely appreciated as the author of apologetic lectures.	Luthardt, un teólogo estrictamente ortodoxo y escritor claro, llegó a ser muy apreciado como autor de sermones de arrepentimiento.	18	53436	Luthardt, un teólogo estrictamente ortodoxo y un escritor claro, llegó a ser ampliamente apreciado como autor de conferencias apologéticas.	3.0	0:00:53	Luthardt, un teólogo estrictamente ortodoxo además de un claro escritor, llegó a ser muy apreciado como conferenciante apologético.	31.818181818181817
es	mtgen_a	professional	925	M	Sowunmi was appointed Professor of Palynology and Environmental Archaeology in 1982.	Sowunmi fue nombrado profesor de Palinología y Arqueología Medioambiental en 1982.	11	41317	Sowunmi fue nombrado profesor de Palinología y Arqueología Ambiental en 1982.	3.8	0:00:41	Sowunmi ganó una cátedra de Palinología y Arqueología ambiental en 1982.	33.33333333333333
es	mtgen_a	professional	976	M	Peck, Class of 1906 Professor in the School of Engineering.	Peck, promoción de 1906, profesor en la Facultad de Ingeniería.	10	25309	Peck, profesor de la promoción de 1906 en la Escuela de Ingeniería.	2.5	0:00:25	Peck, catedrático de la promoción de 1906 de la Escuela de Ingeniería.	14.285714285714285
es	mtgen_a	professional	822	M	František was made an instructor, flying obsolescent Potez 25, Breguet 19, PWS-26, RWD 8, RWD-14 Czapla and Lublin R-XIII aircraft.	A František lo hicieron instructor y voló los obsolescentes Potez 25, Breguet 19, PWS-26, RWD 8, RWD-14 Czapla y Lublin R-XIII.	22	21589	František se convirtió en instructor y voló aviones obsoletos Potez 25, Breguet 19, PWS-26, RWD 8, RWD-14 Czapla y Lublin R-XIII.	1.0	0:00:22	František se convirtió en instructor y voló con aviones obsoletos Potez 25, Breguet 19, PWS-26, RWD 8, RWD-14 Czapla y Lublin R-XIII.	3.8461538461538463
es	mtgen_a	professional	616	M	Both of them were granted chairs in the Darbar of the Commissioner in Sind and Collector of Nawabshah.	Ambos recibieron un puesto en el Darbar del comisionado de Sind y recaudador de Nawabshah.	18	142071	A ambos se les concedieron cátedras en el Darbar del Comisionado en Sind y Recaudador de Nawabshah.	7.9	0:02:23	Ambos ganaron cátedras, en el Darbar del Comisionado en Sind y Collector en Nawabshah.	44.44444444444444
es	mtgen_a	professional	770	M	When the Peruvian government decided to reopen an old Catholic seminary in Ayacucho and make it into a modern university dedicated to improving the condition of the region's impoverished native population, Morote joined the new institution as professor of anthropology and vice-rector.	Cuando el gobierno peruano decidió reabrir un antiguo seminario católico en Ayacucho y hacerlo una moderna universidad dedicada a mejorar las condiciones de la población nativa empobrecida de la región, Morote se unió a la nueva institución como profesor de antropología y vicerrector.	42	28077	Cuando el gobierno peruano decidió reabrir un antiguo seminario católico en Ayacucho y convertirlo en una universidad moderna dedicada a mejorar las condiciones de la empobrecida población nativa de la región, Morote se unió a la nueva institución como profesor de antropología y vicerrector.	0.7	0:00:29	Cuando el Gobierno peruano decidió reabrir un antiguo seminario católico en Ayacucho y convertirlo en una universidad moderna dedicada a mejorar las condiciones de la empobrecida población nativa de la región, Morote se unió a la nueva institución como catedrático de Antropología y vicerrector.	6.521739130434782
es	mtgen_a	professional	893	M	Forsyth is a research Professor at the University of the Basque Country in Spain.	Forsyth es profesor investigador en la Universidad del País Vasco en España.	14	51146	Forsyth es profesor investigador en la Universidad del País Vasco en España.	3.7	0:00:51	Forsyth es catedrático de investigación en la Universidad del País Vasco.	38.46153846153847
es	mtgen_a	professional	658	M	Klaić wrote for the weekly Hrvatska lipa of the Croatian Party of Rights and was the editor of Vienac for several years (1882–1889), founded an orchestra and conducted it, promoting Croatian music.	Klaić escribió para el semanal Hrvatska lipa del Croatian Party of Rights y fue el editor de Vienac durante varios años, y fundó y condujo una orquesta, promoviendo la música Croata.	33	35204	Klaić escribió para el semanario Hrvatska lipa del Partido de los Derechos de Croacia y fue editor de Vienac durante varios años (1882-1889), fundó una orquesta y la dirigió, promoviendo la música croata.	1.1	0:00:35	Klaić escribió para el semanario Hrvatska lipa del Partido de los Derechos de Croacia y fue editor de Vienac durante varios años (1882-1889), fundó una orquesta y la dirigió, y promovió la música croata.	5.0
es	mtgen_a	professional	1069	M	I thought this was because I was a wonderful writer, But it wasn't.	Pensé que era así porque era un escritor fabuloso, pero no lo era.	14	0	Pensé que era porque era un escritor maravilloso, pero no lo era.	0.0	0:00:00	Pensé que era porque era un escritor maravilloso, pero no lo era.	0.0
es	mtgen_a	professional	798	M	McBrien published 25 books and was the general editor of the Encyclopedia of Catholicism.	McBrien publicó 25 libros y fue el editor general de la Enciclopedia del Catolicismo.	14	0	McBrien publicó 25 libros y fue el editor general de la Enciclopedia del Catolicismo.	0.0	0:00:00	McBrien publicó 25 libros y fue el editor general de la Enciclopedia del Catolicismo.	0.0
es	mtgen_a	professional	587	M	Notably, Wratt was chief executive of the not for profit Cawthron Institute during 2006–2012.	En particular, Wratt fue el director ejecutivo del instituto sin ánimo de lucro Cawthron Institute de 2006 a 2012.	15	19849	En particular, Wratt fue director ejecutivo del Instituto Cawthron, una organización sin fines de lucro, durante 2006-2012.	1.3	0:00:20	En particular, Wratt fue director ejecutivo del Instituto Cawthron, una organización sin fines de lucro, entre 2006 y 2012.	8.695652173913043
es	mtgen_a	professional	1019	M	Schwarz married a lawyer and became known as Schwarz-Bollenberger.	Schwarz se casó con una abogada y empezó a ser conocido como Schwarz-Bollenberger.	9	0	Schwarz se casó con un abogado y se hizo conocido como Schwarz-Bollenberger.	0.0	0:00:00	Schwarz se casó con un abogado y se hizo conocido como Schwarz-Bollenberger.	0.0
es	mtgen_a	professional	975	M	Pancholi was a practising lawyer in Edmonton with a focus on labour/employment and education law.	Pancholi era abogado en ejercicio en Edmonton y se centraba en derecho laboral y del trabajo y de educación.	16	0	Pancholi era abogado en ejercicio en Edmonton, centrándose en derecho laboral y educativo.	0.0	0:00:00	Pancholi era abogado en ejercicio en Edmonton, centrándose en derecho laboral y educativo.	0.0
es	mtgen_a	professional	1089	M	From 1981 to 1983, Kovac was employed as a chemist working on carbon-based materials.	De 1981 a 1983 Kovac trabajó como químico en materiales a base de carbono.	14	0	De 1981 a 1983, Kovac trabajó como químico trabajando con materiales a base de carbono.	0.0	0:00:00	De 1981 a 1983, Kovac trabajó como químico trabajando con materiales a base de carbono.	0.0
es	mtgen_a	professional	935	M	Berenyi later worked for a magazine as a sub-editor and did not perform for many years.	Más tarde Berenyi trabajó para una revista como subeditor y no ejerció durante muchos años.	16	0	Más tarde, Berenyi trabajó para una revista como subeditor y no actuó durante muchos años.	0.0	0:00:00	Más tarde, Berenyi trabajó para una revista como subeditor y no actuó durante muchos años.	0.0
es	mtgen_a	professional	957	M	Rantalaiho served as professor of sociology at the University of Lapland in 1988–1989, and in public health science at the University of Tampere in 1990–1998.	Rantalaiho ejerció como profesor de Sociología en la Universidad de Laponia en 1988-1989, y de Ciencias de Salud Pública en la Universidad de Tampere en 1990-1998.	27	24096	Rantalaiho se desempeñó como profesor de sociología en la Universidad de Laponia en 1988-1989 y de ciencias de la salud pública en la Universidad de Tampere en 1990-1998.	0.9	0:00:25	Rantalaiho se desempeñó como profesor de Sociología en la Universidad de Laponia en 1988-1989 y de Ciencias de la Salud Pública en la Universidad de Tampere en 1990-1998.	12.12121212121212
es	mtgen_a	professional	1090	M	The bankruptcy court examiner's finding quickly led to the bankruptcy of Dynegy Inc. itself.	El hallazgo del examinador del tribunal de quiebra condujo rápidamente a la bancarrota de Dynegy Inc.	14	10748	La conclusión del examinador del tribunal de quiebras condujo rápidamente a la quiebra de Dynegy Inc..	0.8	0:00:11	La conclusión del examinador del tribunal de quiebras condujo rápidamente a la quiebra de Dynegy Inc.	5.555555555555555
es	mtgen_a	professional	1034	M	Professor Enuma dies, after the tower collapses.	El Profesor Enuma muere, después del derrumbe de la torre.	7	0	El profesor Enuma muere después del colapso de la torre.	0.0	0:00:00	El profesor Enuma muere después del colapso de la torre.	0.0
es	mtgen_a	professional	572	M	While based in Louisville, Kentucky, McFerran also worked as a goalkeeper coach at a local field hockey club, IFHCK.	Mientras estaba en Louisville, Kentucky, McFerran también trabajó como entrenador de porteras en un club de hockey sobre hierba local, el IFHCK.	19	0	Mientras residía en Louisville, Kentucky, McFerran también trabajó como entrenador de porteros en un club de hockey sobre césped local, IFHCK.	0.0	0:00:00	Mientras residía en Louisville, Kentucky, McFerran también trabajó como entrenador de porteros en un club de hockey sobre césped local, IFHCK.	0.0
es	mtgen_a	professional	868	M	Somerville joined the BBC in 1972 as a sub-editor in the radio newsroom, and then became a reporter in 1978.	Somerville se unió a la BBC en 1972 como sueditor en la sala de prensa radiofónica y luego se hizo reportero en 1978.	20	0	Somerville se unió a la BBC en 1972 como subeditor en la sala de redacción de la radio y luego se convirtió en reportero en 1978.	0.0	0:00:00	Somerville se unió a la BBC en 1972 como subeditor en la sala de redacción de la radio y luego se convirtió en reportero en 1978.	0.0
es	mtgen_a	professional	689	M	Longo was also a prolific writer.	Longo también fue un escritor prolífico.	6	0	Longo también fue un escritor prolífico.	0.0	0:00:00	Longo también fue un escritor prolífico.	0.0
es	mtgen_a	professional	452	M	Dominguez served as Assistant Secretary for Employment Standards, Director of the Office of Federal Contract Compliance Programs (OFCCP) and Architect of the Labor Department's Glass Ceiling Initiative.	Dominguez ejerció como secretario asistenta para Normas de Empleo, director de la Oficina de Programas de Cumplimiento de Contratos Federales (OFCCP) y arquitecto de la Iniciativa del Techo de Cristal del departamento laborista.	27	0	Domínguez se desempeñó como Subsecretario de Normas Laborales, Director de la Oficina de Programas de Cumplimiento de Contratos Federales (OFCCP) y Arquitecto de la Iniciativa del Techo de Cristal del Departamento de Trabajo.	0.0	0:00:00	Domínguez se desempeñó como Subsecretario de Normas Laborales, Director de la Oficina de Programas de Cumplimiento de Contratos Federales (OFCCP) y Arquitecto de la Iniciativa del Techo de Cristal del Departamento de Trabajo.	0.0
es	mtgen_a	professional	698	M	The legend of the mad doctor was to be a ploy by the Firefly family to lure victims in, though this idea was later scrapped.	La leyenda del doctor loco iba a ser truco de la familia Firefly para atraer víctimas, aunque luego esta idea fue desechada.	25	0	La leyenda del doctor loco iba a ser una estratagema de la familia Firefly para atraer a las víctimas, aunque esta idea fue posteriormente descartada.	0.0	0:00:00	La leyenda del doctor loco iba a ser una estratagema de la familia Firefly para atraer a las víctimas, aunque esta idea fue posteriormente descartada.	0.0
es	mtgen_a	professional	983	M	Besides being a prolific writer, Besant was a practised stump orator who gave sixty-six public lectures in one year.	Además de ser un prolífico escritor, Beasant era un portentoso orador que dio sesenta y seis conferencias en un año.	19	0	Además de ser un escritor prolífico, Besant era un orador experimentado que dio sesenta y seis conferencias públicas en un año.	0.0	0:00:00	Además de ser un escritor prolífico, Besant era un orador experimentado que dio sesenta y seis conferencias públicas en un año.	0.0
es	mtgen_a	professional	741	M	All does not go as planned and the chemist soon becomes entangled in a web of deceit.	No todo sale como lo planeado y el químico pronto se ve envuelto en una red de mentiras.	17	0	No todo sale según lo planeado y el químico pronto se ve envuelto en una red de engaños.	0.0	0:00:00	No todo sale según lo planeado y el químico pronto se ve envuelto en una red de engaños.	0.0
es	mtgen_a	professional	870	M	Falsani is a correspondent and columnist for Religion News Service and a featured writer and correspondent for Sojourners.	Falsani es un corresponsal y columnista de Religion News Service y escritor destacado y corresponsal de Sojouners.	18	0	Falsani es corresponsal y columnista de Religion News Service y escritor destacado y corresponsal de Sojourners.	0.0	0:00:00	Falsani es corresponsal y columnista de Religion News Service y escritor destacado y corresponsal de Sojourners.	0.0
es	mtgen_a	professional	1036	M	Prior to NY1, Baquero was at local station WCBS for five years working in almost every aspect of the newsroom ranging from desk assistant, to researcher, to assignment editor, and finally associate producer of the daily consumer action segment, Troubleshooter.	Antes de llegar a la NY1, Baquero estuvo en la cadena local WCBS cinco años, trabajando en casi todo los papeles de la redacción, desde asistente administrativo, a editor de asignaciones y, finalmente, productor asociado de la sección diaria de acción del consumidor, Troubleshooter.	40	0	Antes de NY1, Baquero estuvo en la estación local WCBS durante cinco años trabajando en casi todos los aspectos de la sala de redacción, desde asistente de escritorio hasta investigador, editor de asignaciones y, finalmente, productor asociado del segmento diario de acción del consumidor, Troubleshooter.	0.0	0:00:00	Antes de NY1, Baquero estuvo en la estación local WCBS durante cinco años trabajando en casi todos los aspectos de la sala de redacción, desde asistente de escritorio hasta investigador, editor de asignaciones y, finalmente, productor asociado del segmento diario de acción del consumidor, Troubleshooter.	0.0
es	mtgen_a	professional	711	M	After Oxford, Mabey worked as a lecturer in Social Studies in Further Education at Dacorum College, Hemel Hempstead, then as a Senior Editor at Penguin Books.	Después de Oxford, Mabey trabajó como profesor de Estudios Sociales en educación superior en Dacorum College, Hemel Hempstead, y luego, como editor sénior en Penguin Book.	26	39501	Después de Oxford, Mabey trabajó como profesora de estudios sociales en educación superior en Dacorum College, Hemel Hempstead, y luego como editora senior en Penguin Books.	1.5	0:00:40	Después de Oxford, Mabey trabajó como profesor de Estudios Sociales en educación superior en Dacorum College, Hemel Hempstead, y luego como editor sénior en Penguin Books.	16.666666666666664
es	mtgen_a	professional	969	M	After directing this move, Arbuthnot became an associate professor at the university.	Después de dirigir este movimiento, Arbuthnot se hizo profesor asociado en la universidad.	12	0	Después de dirigir este movimiento, Arbuthnot se convirtió en profesor asociado en la universidad.	0.0	0:00:00	Después de dirigir este movimiento, Arbuthnot se convirtió en profesor asociado en la universidad.	0.0
es	mtgen_a	professional	628	M	Gopalam is an assistant public prosecutor.	Gopalam es un asistente fiscal público.	6	0	Gopalam es fiscal adjunto.	0.0	0:00:00	Gopalam es fiscal adjunto.	0.0
es	mtgen_a	professional	604	M	Hegde is a dental surgeon.	Hegde es cirujano dental.	5	0	Hegde es cirujano dentista.	0.0	0:00:00	Hegde es cirujano dentista.	0.0
es	mtgen_a	professional	581	M	This week's episode, however, reminds us that Mags was never truly the chief villain of Justified to begin with.	El episodio de esta semana, sin embargo, nos recuerda que Mags nunca fue el verdadero villano principal de Justified, para empezar.	19	0	Sin embargo, el episodio de esta semana nos recuerda que, para empezar, Mags nunca fue realmente el villano principal de Justified.	0.0	0:00:00	Sin embargo, el episodio de esta semana nos recuerda que, para empezar, Mags nunca fue realmente el villano principal de Justified.	0.0
es	mtgen_a	professional	755	M	Only at the end the clerk finds out the truth.	El recepcionista solo conoce la verdad al final.	10	77151	Sólo al final el empleado descubre la verdad.	7.7	0:01:17	No es hasta el final cuando el empleado descubre la verdad.	55.55555555555556
es	mtgen_a	professional	1049	M	Hatoyama worked as assistant professor (1976–1981) at Tokyo Institute of Technology and later transferred to Senshu University as associate professor (1981–1984).	Hatoyama trabajó como profesor adjunto (1976-181) en el Instituto de Tecnología de Tokio y luego se transfirió a la Universidad de Seshu como profesor titular (1981-1984).	23	108217	Hatoyama trabajó como profesor asistente (1976-1981) en el Instituto de Tecnología de Tokio y luego fue transferido a la Universidad Senshu como profesor asociado (1981-1984).	4.7	0:01:48	Hatoyama trabajó como profesor adjunto (1976-1981) en el Instituto de Tecnología de Tokio y luego fue transferido a la Universidad Senshu como profesor asociado (1981-1984).	2.941176470588235
es	mtgen_a	professional	1086	M	From 1986 to 1991, Schmidt-Linsenhoff was co-editor of the art journal Kritische Berichte.	De 1986 a 1991 Schmidt-Linsenhoff fue coeditor de la revista artística Kritische Berichte.	13	29539	De 1986 a 1991, Schmidt-Linsenhoff fue coeditor de la revista de arte Critical Reports.	2.3	0:00:30	De 1986 a 1991, Schmidt-Linsenhoff fue coeditor de la revista de arte Kritische Berichte.	12.5
es	mtgen_a	professional	1011	M	Moller is an assistant attorney for Hennepin County, Minnesota.	Moller es un abogado auxiliar en el condado de Hennepin, Minnesota.	9	3296	Moller es abogado asistente del condado de Hennepin, Minnesota.	0.4	0:00:03	Moller es abogado asistente del condado de Hennepin, Minesota.	9.090909090909092
es	mtgen_a	professional	943	M	A painter in the neoclassical style, Lemper's paintings have been showcased in numerous galleries.	Pintor en estilo neoclásico, las obras de Lemper se han expuesto en varias galerías.	14	0	Pintor de estilo neoclásico, las pinturas de Lemper se han exhibido en numerosas galerías.	0.0	0:00:00	Pintor de estilo neoclásico, las pinturas de Lemper se han exhibido en numerosas galerías.	0.0
es	mtgen_a	professional	749	M	Reisinger initially lived in a transit camp and then worked as a house painter in order to earn money from almost any source.	Reisinger al principió vivió en un campamento de tránsito y luego trabajó como pintor de casas para ganar dinero de casi cualquier fuente.	23	38122	Reisinger inicialmente vivió en un campo de tránsito y luego trabajó como pintor de casas para ganar dinero de casi cualquier fuente.	1.7	0:00:38	Reisinger inicialmente vivió en un campo de tránsito y luego trabajó como pintor de casas para ganar dinero como podía.	17.391304347826086
